Type,Title,ISSN,eISSN,ISBN10,ISBN13,StartDate,EndDate,PublicationDate,Resource,Subject,URL,Author
Journal,!кандинавскаяРDилологияР= Scandinavica,0202-2397,,,,2006,,,Open Journal Systems (OJS),,http://ojs.lib.pu.ru/index.php/CSF,
Book,"""Deutsche Kultur"" und Werbung – Studien zur Geschichte der Wirtschaftswerbung von 1918 bis 1945",,,3860042440,9783860042441,,,,OAPEN Online Library,,http://www.oapen.org/search?identifier=382633,"Schug, Alexander"
